UserID,Added Tweet1,Added Tweet2,Target,New label
51794810,"I know something about the Love of GOD, but what I knew, I can't explain. I have felt it my entire life.","Man is made for God, should live in God, and is redeemed unto God.",Atheism,AGAINST
202491278,"""@Paula_White: Believe in who God created you to be! You were created for a #purpose""","""@Paula_White: You might not be where you want to be but thank God you are not where you used to be! #MoveForward""",Atheism,AGAINST
234650609,Soooo ... What is the WHU song?  Don't we get a rousing version of God Save the Queen?  We all know the tune if not the words. #SEAvWHU,Oh tank God!!! As soon as I get home.  Thank you!,Atheism,AGAINST
100306237,"@macbloscaidh @noah_nonsense @religulous For many of us atheism is the conclusion, not the premise. There is nothing ‘strange’ about this.",My response to those who ask why I’m non-religious?… “No Unicorns in the fossil record” #religion #Atheism,Atheism,FAVOR
626067666,"Before you pray: BELIEVE
Before you speak: LISTEN
Before you spend: EARN
Before you write: THINK
Before you quit: TRY
Before self put others",Christ is always faithful. Let us pray to be always faithful to him.,Atheism,AGAINST
297943941,therefore whether atheism stands on falls is dependent on theism's ability to prove its claim.,"I think it is you who is misguided about atheism  @shehrozekhattak abtheism is simply a position on the claim ""god exists"".",Atheism,FAVOR
17362917,Only An Agnostic Part 3 - crispysea.blogspot.com/2012/… #agnostic #Freedom & #Truth = #Atheism,Only An Agnostic Part 2 - crispysea.blogspot.com/2011/… #agnostic #Freedom & #Truth = #Atheism,Atheism,FAVOR
67151580,I release the fi re of God to burn out any sickness or disease that would operate in my body in the name of Jesus. #Prayer,"I will cease from anger and put away wrath to stay connected to God. If I wait on Him, I will inherit the earth -Ps. 37:8-9 #Prayer",Atheism,AGAINST
36005781,"Just a reminder that supernatural entities, e.g. Odin or God, had nothing to do with creating today's #WinterSolstice.

#atheist #atheism","Right, and it seems highly likely that both the afterlife and God were completely made up by people and don't actually exist.",Atheism,FAVOR
3254910506,"So, if everyone sins, before Jesus ""died for our sins,"" did everyone go to hell? If not, what was the point of the crucifixion? #atheism","Only the most dishonest rationalizations can lead the well-informed #bible reader to actually believe, much less worship. #atheist #atheism",Atheism,FAVOR
